EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
1,High,CRITICAL,"Key drivers: working overtime, very poor work-life balance, poor environment satisfaction.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Gather anonymous feedback on workplace conditions | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
2,Low,WATCH,"Key drivers: low job satisfaction, frequent business travel.",2,Schedule a manager-employee feedback session | Reduce business travel frequency or offer travel allowance
4,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress).",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
5,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress), frequent business travel.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance
7,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction.",4,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Implement a peer-recognition and rewards programme
8,Low,WATCH,"Key drivers: below-average work-life balance, frequent business travel.",3,Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance
10,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very low job satisfaction, low monthly income (financial stress).",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
11,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
12,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
13,Low,WATCH,"Key drivers: below-average work-life balance, 7 years without promotion.",2,Offer optional wellness / mindfulness sessions | Fast-track promotion review or provide stretch assignments
14,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction, low monthly income (financial stress).",6,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
15,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
16,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, low monthly income (financial stress).",6,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline
18,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
19,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress).",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
20,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction, 8 years without promotion.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
